condition,mode,target_similarity,true_target_similarity,nearest_non_target,dominance,recovered,competitor_won,false_positive,observable_similarity,memory_similarity,count
adversarial_memory,exact_template_upper_bound,1.0,1.0,-1.0,2.0,1.0,0.0,0.0,1.0,-0.8286676911569938,786432
adversarial_memory,observable_only,1.0,1.0,1.0,0.0,0.12502415974934897,0.0,0.0,1.0,-0.8286676911569938,786432
adversarial_memory,shuffled_label_control,0.1712086326036558,-0.4611733664992807,0.6729543836924416,-0.5017457510887858,0.12481689453125,0.87518310546875,0.0,1.0,-0.03597077028033293,786432
adversarial_memory,null_memory,1.0,1.0,1.0,0.0,0.12479400634765625,0.0,0.0,1.0,-0.8286676911569938,786432
adversarial_memory,speed_only_no_memory,0.7755976603137076,0.7755976603137076,0.7755976603137076,0.0,0.12460708618164062,0.0,0.0,1.0,-0.8286676911569938,786432
adversarial_memory,overdriven_arbiter,-0.44096398362076816,-0.44096398362076816,0.7073950900952087,-1.1483590737159768,0.0,1.0,0.0,1.0,-0.8286676911569938,786432
adversarial_memory,memory_bounded_arbiter,-0.4611733664992807,-0.4611733664992807,0.7298567823868858,-1.1910301488861665,0.0,1.0,0.0,1.0,-0.8286676911569938,786432
adversarial_memory,arbiter_only,-0.8245507182550198,-0.8245507182550198,0.6599262500489518,-1.4844769683039718,0.0,1.0,0.0,1.0,-0.8286676911569938,786432
adversarial_memory,latent_memory_only,-0.8286676911569938,-0.8286676911569938,0.6651350615703229,-1.4938027527273166,0.0,1.0,0.0,1.0,-0.8286676911569938,786432
coherent_memory,exact_template_upper_bound,1.0,1.0,-1.0,2.0,1.0,0.0,0.0,1.0,1.0,786432
coherent_memory,arbiter_only,1.0,1.0,0.13617749278361466,0.8638225072163853,1.0,0.0,0.0,1.0,1.0,786432
coherent_memory,latent_memory_only,1.0,1.0,0.13692705321920412,0.8630729467807959,1.0,0.0,0.0,1.0,1.0,786432
coherent_memory,overdriven_arbiter,1.0,1.0,0.30810455451739244,0.6918954454826077,1.0,0.0,0.0,1.0,1.0,786432
coherent_memory,memory_bounded_arbiter,1.0,1.0,0.30900875868659566,0.6909912413134043,1.0,0.0,0.0,1.0,1.0,786432
coherent_memory,speed_only_no_memory,0.7755976603137076,0.7755976603137076,0.7755976603137076,0.0,0.12509663899739584,0.0,0.0,1.0,1.0,786432
coherent_memory,observable_only,1.0,1.0,1.0,0.0,0.12497329711914062,0.0,0.0,1.0,1.0,786432
coherent_memory,null_memory,1.0,1.0,1.0,0.0,0.1248931884765625,0.0,0.0,1.0,1.0,786432
coherent_memory,shuffled_label_control,0.29753987074253346,1.0,0.9164356250071859,-0.6188957542646524,0.12066650390625,0.87933349609375,1.0,1.0,0.12184550772747259,786432
destroyed_memory,exact_template_upper_bound,1.0,1.0,-1.0,2.0,1.0,0.0,0.0,1.0,0.00028725185046234885,786432
destroyed_memory,latent_memory_only,0.0002872518504623488,0.0002872518504623488,0.13674620803456863,-0.13645895618410628,0.1280517578125,0.8719482421875,0.0,1.0,0.00028725185046234885,786432
destroyed_memory,arbiter_only,0.0002648545546641123,0.0002648545546641123,0.13683211176622714,-0.13656725721156301,0.1270472208658854,0.8729527791341146,0.0,1.0,0.00028725185046234885,786432
destroyed_memory,memory_bounded_arbiter,0.20021611032958594,0.20021611032958594,0.30923173923909913,-0.10901562890951316,0.1269353230794271,0.8730646769205729,0.0,1.0,0.00028725185046234885,786432
destroyed_memory,overdriven_arbiter,0.20026189015213178,0.20026189015213178,0.3096029930342379,-0.10934110288210608,0.12629191080729166,0.8737080891927084,0.0,1.0,0.00028725185046234885,786432
destroyed_memory,shuffled_label_control,0.20005054602829606,0.20021611032958594,0.309291580502229,-0.10924103447393291,0.1258544921875,0.8741455078125,0.1269353230794271,1.0,-1.351965078545515e-05,786432
destroyed_memory,speed_only_no_memory,0.7755976603137076,0.7755976603137076,0.7755976603137076,0.0,0.12554423014322916,0.0,0.0,1.0,0.00028725185046234885,786432
destroyed_memory,observable_only,1.0,1.0,1.0,0.0,0.12492624918619792,0.0,0.0,1.0,0.00028725185046234885,786432
destroyed_memory,null_memory,1.0,1.0,1.0,0.0,0.1248181660970052,0.0,0.0,1.0,0.00028725185046234885,786432
memory_swap,exact_template_upper_bound,1.0,1.0,-1.0,2.0,1.0,0.0,0.0,1.0,5.8064426601331204e-05,786432
memory_swap,shuffled_label_control,0.19941902968818762,0.1999959426404205,0.3102521114350469,-0.1108330817468593,0.12585957845052084,0.8741404215494791,0.12471516927083333,1.0,-0.0006698555671582431,786432
memory_swap,speed_only_no_memory,0.7755976603137076,0.7755976603137076,0.7755976603137076,0.0,0.12531534830729166,0.0,0.0,1.0,5.8064426601331204e-05,786432
memory_swap,overdriven_arbiter,0.1998888011370418,0.1998888011370418,0.3100660025203054,-0.11017720138326358,0.12525431315104166,0.8747456868489584,0.0,1.0,5.8064426601331204e-05,786432
memory_swap,latent_memory_only,5.8064426601330906e-05,5.8064426601330906e-05,0.13795112293973089,-0.13789305851312955,0.125,0.875,0.0,1.0,5.8064426601331204e-05,786432
memory_swap,null_memory,1.0,1.0,1.0,0.0,0.12498982747395833,0.0,0.0,1.0,5.8064426601331204e-05,786432
memory_swap,arbiter_only,-3.795983379964368e-05,-3.795983379964368e-05,0.13780369531732004,-0.13784165515111968,0.12481943766276042,0.8751805623372396,0.0,1.0,5.8064426601331204e-05,786432
memory_swap,observable_only,1.0,1.0,1.0,0.0,0.12473678588867188,0.0,0.0,1.0,5.8064426601331204e-05,786432
memory_swap,memory_bounded_arbiter,0.1999959426404205,0.1999959426404205,0.3100671122749041,-0.1100711696344836,0.12471516927083333,0.8752848307291666,0.0,1.0,5.8064426601331204e-05,786432
shuffled_memory,exact_template_upper_bound,1.0,1.0,-1.0,2.0,1.0,0.0,0.0,1.0,0.002857370369998714,786432
shuffled_memory,memory_bounded_arbiter,0.20226670903769953,0.20226670903769953,0.31944641038191063,-0.11717970134421106,0.12726338704427084,0.8727366129557291,0.0,1.0,0.002857370369998714,786432
shuffled_memory,arbiter_only,0.00281717842065542,0.00281717842065542,0.1495982599067826,-0.14678108148612717,0.12714131673177084,0.8728586832682291,0.0,1.0,0.002857370369998714,786432
shuffled_memory,overdriven_arbiter,0.20223026730829266,0.20223026730829266,0.31980587836975155,-0.1175756110614589,0.12663777669270834,0.8733622233072916,0.0,1.0,0.002857370369998714,786432
shuffled_memory,latent_memory_only,0.0028573703699987137,0.0028573703699987137,0.14959505386934713,-0.14673768349934843,0.12640380859375,0.87359619140625,0.0,1.0,0.002857370369998714,786432
shuffled_memory,null_memory,1.0,1.0,1.0,0.0,0.1255467732747396,0.0,0.0,1.0,0.002857370369998714,786432
shuffled_memory,observable_only,1.0,1.0,1.0,0.0,0.1254399617513021,0.0,0.0,1.0,0.002857370369998714,786432
shuffled_memory,speed_only_no_memory,0.7755976603137076,0.7755976603137076,0.7755976603137076,0.0,0.1246325174967448,0.0,0.0,1.0,0.002857370369998714,786432
shuffled_memory,shuffled_label_control,0.20174797607404504,0.20226670903769953,0.3198172827852314,-0.11806930671118636,0.11989084879557292,0.8801091512044271,0.12726338704427084,1.0,0.0022788258634616025,786432
wrong_memory,exact_template_upper_bound,1.0,1.0,-1.0,2.0,1.0,0.0,0.0,1.0,0.0022398076896161905,786432
wrong_memory,observable_only,1.0,1.0,1.0,0.0,0.1251678466796875,0.0,0.0,1.0,0.0022398076896161905,786432
wrong_memory,speed_only_no_memory,0.7755976603137076,0.7755976603137076,0.7755976603137076,0.0,0.124908447265625,0.0,0.0,1.0,0.0022398076896161905,786432
wrong_memory,null_memory,1.0,1.0,1.0,0.0,0.12476476033528645,0.0,0.0,1.0,0.0022398076896161905,786432
wrong_memory,shuffled_label_control,0.3008078798230246,0.20183771208424162,0.9138559478744925,-0.6130480680514679,0.12469482421875,0.87530517578125,0.0,1.0,0.1260261576398057,786432
wrong_memory,memory_bounded_arbiter,0.20183771208424162,0.20183771208424162,1.0,-0.7981622879157584,0.0,1.0,0.0,1.0,0.0022398076896161905,786432
wrong_memory,overdriven_arbiter,0.20157927559735736,0.20157927559735736,1.0,-0.7984207244026428,0.0,1.0,0.0,1.0,0.0022398076896161905,786432
wrong_memory,arbiter_only,0.0023013523323042284,0.0023013523323042284,1.0,-0.9976986476676958,0.0,1.0,0.0,1.0,0.0022398076896161905,786432
wrong_memory,latent_memory_only,0.0022398076896161905,0.0022398076896161905,1.0,-0.9977601923103839,0.0,1.0,0.0,1.0,0.0022398076896161905,786432
